address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
8 Twin Post Rd,WESTWOOD,MA,02090,1949999,10000.0,6.0,7.75,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8-Twin-Post-Rd-Westwood-MA-02090/57520165_zpid/
390 High St,WESTWOOD,MA,02090,995000,2675.0,4.0,3.0,86,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/390-High-St-Westwood-MA-02090/57515933_zpid/
46 Colburn St,WESTWOOD,MA,02090,1249999,3983.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/46-Colburn-St-Westwood-MA-02090/57517357_zpid/
357 Fox Hill St,WESTWOOD,MA,02090,2195000,6622.0,7.0,6.0,159,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/357-Fox-Hill-St-Westwood-MA-02090/57516380_zpid/
27 Whitewood Rd,WESTWOOD,MA,02090,999000,2890.0,4.0,5.0,126,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/27-Whitewood-Rd-Westwood-MA-02090/57518202_zpid/
118 Pleasant Valley Rd,WESTWOOD,MA,02090,1799000,6000.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/118-Pleasant-Valley-Rd-Westwood-MA-02090/57515890_zpid/
80 Morgan Farm Rd,WESTWOOD,MA,02090,2580000,6000.0,5.0,7.0,42,New Construction,http://www.zillow.com/homes/for_sale//homedetails/80-Morgan-Farm-Rd-Westwood-MA-02090/123562992_zpid/
99 Clapboardtree St,WESTWOOD,MA,02090,759900,2212.0,4.0,2.0,182,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-Clapboardtree-St-Westwood-MA-02090/57518841_zpid/
39 Kingswood Rd,WESTWOOD,MA,02090,1100000,3603.0,5.0,3.0,98,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/39-Kingswood-Rd-Westwood-MA-02090/57517093_zpid/
725 High St,Westwood,MA,02090,2200000,NA,6.0,4.0,36,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/725-High-St-Westwood-MA-02090/2088596826_zpid/
